РЕЙС;НАЗНАЧЕНИЕ;ПО РАСПИСАНИЮ;РАСЧЕТНОЕ;СТАТУС;СТОЯнКА;ПРЕДСТОВИТЕЛЬ;СУПЕРВАЙЗЕР;КОЛ-ВО ПАС.;ГРУЗ;ПОЧТА;ТЕХНИК;САБ;СООПП;БОРТ
S7 5018;Екатеринбург;20:05:00;20:34:00;Рейс прибыл;2;;;;;;;;;
UT 138;Красноярск;20:20:00;19:57:00;Рейс прибыл;15;;;;;;;;;
S7 5110;Сочи;20:30:00;20:35:00;Рейс прибыл;49;;;;;;;;;
S7 5286;Иркутск;20:45:00;20:16:00;Рейс прибыл;17;;;;;;;;;
S7 2507;Москва / Домодедово;20:55:00;21:20:00;Рейс прибыл;51;;;;;;;;;
S7 5028;Челябинск;20:55:00;21:13:00;Рейс прибыл;16;;;;;;;;;
S7 5308;Красноярск;21:00:00;20:40:00;Рейс прибыл;14;;;;;;;;;
S7 5126;Минеральные Воды;21:10:00;21:00:00;Рейс прибыл;54;;;;;;;;;
S7 5786;Дубай;21:15:00;21:10:00;Рейс прибыл;36;;;;;;;;;
S7 5032;Самара;21:15:00;21:13:00;Рейс прибыл;1;;;;;;;;;
S7 5546;Ош;21:25:00;21:00:00;Рейс прибыл;4а;;;;;;;;;
HZ 5642;Хабаровск;21:40:00;21:20:00;Рейс прибыл;22;;;;;;;;;
S7 5042;Пермь;21:45:00;21:27:00;Рейс прибыл;53;;;;;;;;;
S7 5346;Омск;21:45:00;21:45:00;Рейс прибыл;50;;;;;;;;;
S7 5580;Баку;21:50:00;21:50:00;Рейс прибыл;38;;;;;;;;;
S7 5104;Сочи;22:05:00;22:25:00;Рейс прибыл;10;;;;;;;;;
S7 5152;Махачкала;22:15:00;21:50:00;Рейс прибыл;52;;;;;;;;;
S7 5004;Санкт-Петербург;22:20:00;21:57:00;Рейс прибыл;16;;;;;;;;;
S7 5316;Абакан;22:35:00;22:35:00;Рейс прибыл;48;;;;;;;;;
S7 5128;Минеральные Воды;22:40:00;22:05:00;Рейс прибыл;3;;;;;;;;;
SU 803;Анталья;22:45:00;22:10:00;Рейс прибыл;37;;;;;;;;;
S7 5020;Екатеринбург;23:10:00;23:10:00;Рейс прибыл;12;;;;;;;;;
S7 5252;Улан-Удэ;23:10:00;22:47:00;Рейс прибыл;2;;;;;;;;;
FV 6861;Красноярск;23:15:00;22:53:00;Рейс прибыл;17;;;;;;;;;
S7 5108;Сочи;23:30:00;23:56:00;Рейс прибыл;53;;;;;;;;;
S7 5338;Красноярск;23:30:00;23:30:00;Рейс прибыл;49;;;;;;;;;
6R 544;Москва / Внуково;23:45:00;23:23:00;Рейс прибыл;51;;;;;;;;;
6R 604;Сочи;0:40:00;0:46:00;Рейс прибыл;52;;;;;;;;;
S7 2509;Москва / Домодедово;0:50:00;0:52:00;Рейс прибыл;4;;;;;;;;;
YK 769;Ош;1:00:00;0:54:00;Рейс прибыл;36;;;;;;;;;
S7 5006;Санкт-Петербург;1:00:00;1:16:00;Рейс прибыл;50;;;;;;;;;
6R 544;Москва / Внуково;1:05:00;0:59:00;Рейс прибыл;22;;;;;;;;;
