РЕЙС;НАЗНАЧЕНИЕ;ПО РАСПИСАНИЮ;РАСЧЕТНОЕ;СТАТУС;СТОЯНКА;ПРЕДСТОВИТЕЛЬ;СУПЕРВАЙЗЕР;КОЛ-ВО ПАС.;ГРУЗ;ПОЧТА;ТЕХНИК;САБ;СООПП;БОРТ
S7 2520 ;Москва / Домодедово;20:00:00;20:00:00;Вылетел;23;;;;;;;;;
S7 5337;Красноярск;20:10:00;20:10:00;Вылетел;10;;;;;;;;;
S7 5263;Хабаровск;20:25:00;20:45:00;Вылетел;13;;;;;;;;;
S7 5201;Владивосток;20:30:00;20:30:00;Вылетел;7;;;;;;;;;
IQ 512;Астана;20:40:00;20:40:00;Вылетел;11;;;;;;;;;
S7 2514;Москва / Домодедово;20:40:00;20:40:00;Вылетел;20;;;;;;;;;
S7 5225;Иркутск;20:50:00;20:50:00;Вылетел;12;;;;;;;;;
UT 138;Сургут;21:00:00;21:00:00;Вылетел;15;;;;;;;;;
S7 5289;Иркутск;21:35:00;21:35:00;Вылетел;17;;;;;;;;;
S7 5355;Тюмень;21:40:00;21:40:00;Вылетел;4;;;;;;;;;
S7 5025;Челябинск;21:55:00;21:55:00;Вылетел;18;;;;;;;;;
S7 5071;Оренбург;21:55:00;21:55:00;Вылетел;21;;;;;;;;;
S7 5863;Анталья;22:25:00;22:25:00;Вылетел;36;;;;;;;;;
S7 5033;Самара;22:25:00;22:25:00;Вылетел;12;;;;;;;;;
S7 5077;Ижевск;22:30:00;22:30:00;Вылетел;49;;;;;;;;;
HZ 5643;Хабаровск;22:40:00;22:40:00;Вылетел;22;;;;;;;;;
S7 5501;Алматы;22:55:00;22:55:00;Вылетел;4а;;;;;;;;;
S7 5257;Южно-Сахалинск;23:05:00;23:05:00;Вылетел;51;;;;;;;;;
S7 5237;Хабаровск;23:10:00;23:10:00;Вылетел;18;;;;;;;;;
S7 5203;Владивосток;23:15:00;23:15:00;Вылетел;52;;;;;;;;;
S7 5221;Чита;23:15:00;23:15:00;Вылетел;25;;;;;;;;;
S7 5249;П.-Камчатский;23:20:00;23:20:00;Вылетел;50;;;;;;;;;
S7 5261;Якутск;23:25:00;23:25:00;Вылетел;52;;;;;;;;;
S7 5723;Пекин;23:40:00;23:40:00;Вылетел;37;;;;;;;;;
S7 5219;Магадан;23:45:00;23:45:00;Вылетел;16;;;;;;;;;
S7 5231;Иркутск;23:50:00;23:50:00;Вылетел;50;;;;;;;;;
S7 5349;Сургут ;0:10:00;0:12:00;Вылетел;49;;;;;;;;;
S7 5211;Благовещенск;0:10:00;0:19:00;Вылетел;1;;;;;;;;;
S7 5253;Улан-Удэ;0:35:00;0:38:00;Вылетел;3;;;;;;;;;
ZF 847;Анталья;1:00:00;1:12:00;Вылетел;38;;;;;;;;;
S7 5209;Благовещенск;1:15:00;1:43:00;Вылетел;49;;;;;;;;;
S7 5223;Чита;1:45:00;1:49:00;Вылетел;53;;;;;;;;;
6R 590;Ленск;2:15:00;2:30:00;Вылетел;51;;;;;;;;;
YK 770;Ош;2:30:00;2:43:00;Вылетел;36;;;;;;;;;
S7 5245;Нерюнгри;2:30:00;3:08:00;Вылетел;18;;;;;;;;;
